# command_id	argv	output	description
menu_status	["./tools/menu"]	discard	Confirm the menu command still renders.
dashboard_all	["./tools/dashboard","all"]	discard	Confirm the dashboard command still renders every section without substituting for the shared runtime-helper or same-run mutable-cache-boundary validation.
dashboard_data	["./tools/dashboard-data"]	discard	Confirm the dashboard data JSON command still renders.
as_built_sync_status	["./tools/as-built-sync","status"]	discard	Confirm the as-built sync status view remains available.
repository_development_workflow_status	["./tools/repository-development-workflow","status"]	discard	Confirm the repository development workflow status view remains available.
development_instruction_status	["./tools/development-instruction","status","--target","parent"]	discard	Confirm parent instruction resolution reports the invariant/procedural authority contract without traversing registered products.
next_workflow_status	["./tools/next-workflow","status"]	discard	Confirm the bounded Next Workflow status projection remains readable, reports planned activation and unavailable production runtime, and starts no provider, agent, Git, or Control Center execution.
illustrations_list	["./tools/illustrations","list"]	discard	Confirm the illustration index remains readable.
git_hooks_status	["./tools/git-hooks","status"]	discard	Confirm the Git hooks status view remains available.
resource_guard_status	["./tools/resource-guard","status"]	discard	Confirm the resource guard status view remains available.
resource_guard_summary	["./tools/resource-guard","summary"]	discard	Confirm the learner-friendly resource summary remains available.
resource_guard_summary_short	["./tools/resource-guard","summary","--short"]	discard	Confirm the short resource summary remains available.
product_improvement_status	["./tools/product-improvement","status"]	discard	Confirm product improvement workflow status remains available.
external_integration_status	["./tools/external-integration","status"]	discard	Confirm external integration workflow status remains available.
product_repository_cleanup_status	["./tools/product-repository-cleanup","status"]	discard	Confirm product repository cleanup status remains available.
git_workflow_status	["./tools/git-workflow","status"]	discard	Confirm Git workflow status remains available.
git_workflow_cleanup_plan	["./tools/git-workflow","cleanup-plan"]	discard	Confirm Git workflow cleanup planning remains available.
